Bin	Taxonomy	Domain
Candidatus_Aenigmarchaeota_archaeon_64	Aenigmarchaeota	Archaea
Candidatus_Aenigmarchaeota_archaeon_65	Aenigmarchaeota	Archaea
Candidatus_Aenigmarchaeota_archaeon_63	Aenigmarchaeota	Archaea
Candidatus_Aenigmarchaeota_archaeon_62	Aenigmarchaeota	Archaea
Candidatus_Aenigmarchaeota_archaeon_61	Aenigmarchaeota	Archaea
Candidatus_Aenigmarchaeota_archaeon_60	Aenigmarchaeota	Archaea
Candidatus_Aenigmarchaeota_archaeon_59	Aenigmarchaeota	Archaea
Candidatus_Aenigmarchaeota_archaeon_58	Aenigmarchaeota	Archaea
Candidatus_Aenigmarchaeota_archaeon_57	Aenigmarchaeota	Archaea
Candidatus_Aenigmarchaeota_archaeon_56	Aenigmarchaeota	Archaea
Candidatus_Aenigmarchaeota_archaeon_55	Aenigmarchaeota	Archaea
Candidatus_Aenigmarchaeota_archaeon_54	Aenigmarchaeota	Archaea
Candidatus_Aenigmarchaeota_archaeon_52	Aenigmarchaeota	Archaea
Candidatus_Aenigmarchaeota_archaeon_53	Aenigmarchaeota	Archaea
Candidatus_Aenigmarchaeota_archaeon_ex4484_14	Aenigmarchaeota	Archaea
Candidatus_Aenigmarchaeota_archaeon_ex4484_224	Aenigmarchaeota	Archaea
Candidatus_Aenigmarchaeota_archaeon_ex4484_56	Aenigmarchaeota	Archaea
Candidatus_Aenigmarchaeota_archaeon_SCGC_AAA011-F07	Aenigmarchaeota	Archaea
Candidatus_Aenigmarchaeota_archaeon_JGI_0000106-F11	Aenigmarchaeota	Archaea
Candidatus_Aenigmarchaeum_subterraneum_SCGC_AAA011-O16	Aenigmarchaeota	Archaea
archaeon_GW2011_AR5	Aenigmarchaeota	Archaea
candidate_division_MSBL1_archaeon_SCGC-AAA382A20	Aenigmarchaeota	Archaea
Candidatus_Micrarchaeota_archaeon_RBG_16_49_10	Aenigmarchaeota	Archaea
Candidatus_Micrarchaeota_archaeon_RBG_16_36_9	Aenigmarchaeota	Archaea
Candidatus_Aenigmarchaeota_archaeon_CG1_02_38_14	Aenigmarchaeota	Archaea
archaeon_36	Aenigmarchaeota	Archaea
Candidatus_Aenigmarchaeota_archaeon_CG01_land_8_20_14_3_00_37_9	Aenigmarchaeota	Archaea
Candidatus_Aenigmarchaeota_archaeon_CG15_BIG_FIL_POST_REV_8_21_14_020_37_27	Aenigmarchaeota	Archaea
Candidatus_Aenigmarchaeota_archaeon_CG_4_8_14_3_um_filter_37_24	Aenigmarchaeota	Archaea
Candidatus_Aenigmarchaeota_archaeon_CG_4_10_14_3_um_filter_37_21	Aenigmarchaeota	Archaea
Candidatus_Aenigmarchaeota_archaeon_CG_4_9_14_3_um_filter_37_18	Aenigmarchaeota	Archaea
Candidatus_Aenigmarchaeota_archaeon_CG_4_10_14_0_8_um_filter_37_24	Aenigmarchaeota	Archaea
Candidatus_Aenigmarchaeota_archaeon_45	Aenigmarchaeota	Archaea
Candidatus_Aenigmarchaeota_archaeon_46	Aenigmarchaeota	Archaea
Candidatus_Aenigmarchaeota_archaeon_47	Aenigmarchaeota	Archaea
Candidatus_Aenigmarchaeota_archaeon_48	Aenigmarchaeota	Archaea
Candidatus_Aenigmarchaeota_archaeon_49	Aenigmarchaeota	Archaea
Candidatus_Aenigmarchaeota_archaeon_50	Aenigmarchaeota	Archaea
Candidatus_Aenigmarchaeota_archaeon_51	Aenigmarchaeota	Archaea
Meg22_1012_Bin_181	Aenigmarchaeota	Archaea
Meg22_1214_Bin_103	Aenigmarchaeota	Archaea
Meg22_1214_Bin_123	Aenigmarchaeota	Archaea
Meg22_1214_Bin_346	Aenigmarchaeota	Archaea
Meg22_1416_Bin_185	Aenigmarchaeota	Archaea
Meg22_1618_Bin_66	Aenigmarchaeota	Archaea
Meg22_810_Bin_261	Aenigmarchaeota	Archaea
Meg22_810_Bin_48	Aenigmarchaeota	Archaea
AB_3033_Bin_19	Aenigmarchaeota	Archaea
Thaumarchaeota_archaeon_951	Aigarchaeota	Archaea
Thaumarchaeota_archaeon_950	Aigarchaeota	Archaea
Thaumarchaeota_archaeon_949	Aigarchaeota	Archaea
Thaumarchaeota_archaeon_948	Aigarchaeota	Archaea
Thaumarchaeota_archaeon_947	Aigarchaeota	Archaea
Thaumarchaeota_archaeon_946	Aigarchaeota	Archaea
Thaumarchaeota_archaeon_945	Aigarchaeota	Archaea
Thaumarchaeota_archaeon_943	Aigarchaeota	Archaea
Thaumarchaeota_archaeon_ex4484_121	Aigarchaeota	Archaea
Candidatus_Caldiarchaeum_subterraneum	Aigarchaeota	Archaea
Aigarchaeota_archaeon_JGI_0000001-A7	Aigarchaeota	Archaea
Aigarchaeota_archaeon_SCGC_AAA471-D15	Aigarchaeota	Archaea
Aigarchaeota_archaeon_SCGC_AAA471-E14	Aigarchaeota	Archaea
Aigarchaeota_archaeon_JGI_0000106-J15	Aigarchaeota	Archaea
