seq_id,length
Fenrir Meg22_1012,89152
Fenrir Meg22_1214,89063
Skoll Meg22_1214,39909
Ratatoskr Meg22_1012,66636
Nidhogg Meg22_1012,117419
Nidhogg Meg22_1214,112862
