Proposed_Name	Gene_ID	Gene_Coordinates	strand	hosts	cycle	vibrant_accession	vibrant_title	query_length	interproscan_analysis_database	interproscan_signature_accession	interproscan_signature_description	interproscan_start	interproscan_stop	interproscan_evalue	interproscan_match_status	interproscan_annotation	interproscan_description	BLASTP_Subject_ID	BLASTP_Percent_ID	BLASTP_Alignment_Length	BLASTP_Mismatches	BLASTP_Gap_Openings	BLASTP_Start_Query	BLASTP_End_Query	BLASTP_Start_Subject	BLASTP_End_Subject	BLASTP_E_Value	BLASTP_Bitscore	BLASTP_Query_Length	BLASTP_Subject_Length	BLASTP_Subject_Phylums	BLASTP_Subject_Sciname	BLASTP_Subject_Taxid	BLASTP_Subject_Title
`Fenrir Meg22_1012`	Meg22_1012_scaffold_2kb_scaffold_226_1	(575..958)	-1	Lokiarchaeota	Lytic	None	hypothetical protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
`Fenrir Meg22_1012`	Meg22_1012_scaffold_2kb_scaffold_226_2	(951..1103)	-1	Lokiarchaeota	Lytic	None	hypothetical protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
`Fenrir Meg22_1012`	Meg22_1012_scaffold_2kb_scaffold_226_3	(1345..3063)	-1	Lokiarchaeota	Lytic	None	hypothetical protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
`Fenrir Meg22_1012`	Meg22_1012_scaffold_2kb_scaffold_226_4	(4248..4691)	1	Lokiarchaeota	Lytic	None	hypothetical protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HEA05401.1	54.5	134	61	0	11	144	3	136	3.00E-32	148.7	148	140	N/A	N/A		HEA05401.1 hypothetical protein [archaeon]
`Fenrir Meg22_1012`	Meg22_1012_scaffold_2kb_scaffold_226_5	(4688..4828)	1	Lokiarchaeota	Lytic	None	hypothetical protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
`Fenrir Meg22_1012`	Meg22_1012_scaffold_2kb_scaffold_226_6	(4835..5128)	1	Lokiarchaeota	Lytic	None	hypothetical protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
`Fenrir Meg22_1012`	Meg22_1012_scaffold_2kb_scaffold_226_7	(5132..6871)	1	Lokiarchaeota	Lytic	VOG00991	sp|P17312|TERL_BPT4 Terminase, large subunit	579	Gene3D	G3DSA:3.40.50.300	P-loop containing nucleotide triphosphate hydrolases	11	231	2.00E-23	TRUE			WP_169725485.1	30.3	261	126	12	282	537	165	374	2.40E-08	71.2	580	396	Firmicutes	Alicyclobacillus contaminans	392016	WP_169725485.1 hypothetical protein [Alicyclobacillus contaminans]
`Fenrir Meg22_1012`	Meg22_1012_scaffold_2kb_scaffold_226_7	(5132..6871)	1	Lokiarchaeota	Lytic	VOG00991	sp|P17312|TERL_BPT4 Terminase, large subunit	579	Gene3D	G3DSA:3.40.50.300	P-loop containing nucleotide triphosphate hydrolases	11	231	2.00E-23	TRUE			RMH07852.1	27.1	266	141	14	277	535	170	389	2.40E-08	71.2	580	408	Armatimonadetes	Armatimonadetes bacterium	2033014	RMH07852.1 hypothetical protein D6697_07640 [Armatimonadetes bacterium]
`Fenrir Meg22_1012`	Meg22_1012_scaffold_2kb_scaffold_226_7	(5132..6871)	1	Lokiarchaeota	Lytic	VOG00991	sp|P17312|TERL_BPT4 Terminase, large subunit	579	Gene3D	G3DSA:3.40.50.300	P-loop containing nucleotide triphosphate hydrolases	11	231	2.00E-23	TRUE			WP_146823918.1	30.8	260	128	14	281	537	186	396	2.80E-09	74.3	580	415	Firmicutes	Alicyclobacillus acidoterrestris	1450	WP_146823918.1 hypothetical protein [Alicyclobacillus acidoterrestris]
`Fenrir Meg22_1012`	Meg22_1012_scaffold_2kb_scaffold_226_7	(5132..6871)	1	Lokiarchaeota	Lytic	VOG00991	sp|P17312|TERL_BPT4 Terminase, large subunit	579	Gene3D	G3DSA:3.40.50.300	P-loop containing nucleotide triphosphate hydrolases	11	231	2.00E-23	TRUE			MBC7330269.1	23.3	463	277	14	79	536	19	408	4.30E-10	77	580	425	N/A	N/A		MBC7330269.1 hypothetical protein [bacterium]
